symbol,side,date,qty,px,pnl
AWL,BUY,2025-07-17 00:00:00+05:30,4,278.6617777770996,0.0
360ONE,SELL,2025-07-22 00:00:00+05:30,1,1142.6126456176758,0.6299956176758315
AMBUJACEM,BUY,2025-07-22 00:00:00+05:30,1,621.3567027770996,0.0
AADHARHFC,BUY,2025-07-22 00:00:00+05:30,1,520.2754555541992,0.0
AWL,SELL,2025-07-28 00:00:00+05:30,4,266.7028228088379,-47.83581987304683
AMBUJACEM,SELL,2025-07-31 00:00:00+05:30,1,591.9295021911621,-29.4272005859375
ABCAPITAL,BUY,2025-08-04 00:00:00+05:30,6,278.8119972229004,0.0
AADHARHFC,SELL,2025-08-06 00:00:00+05:30,1,494.90577280883787,-25.36968274536133
ANANDRATHI,SELL,2025-08-08 00:00:00+05:30,1,2584.4359087646485,477.7007087646484
ASHOKLEY,BUY,2025-08-18 00:00:00+05:30,9,131.93128249969482,0.0
APOLLOTYRE,BUY,2025-08-18 00:00:00+05:30,1,465.0537972229004,0.0
ABFRL,BUY,2025-08-22 00:00:00+05:30,20,81.355625,0.0
ABCAPITAL,SELL,2025-08-25 00:00:00+05:30,6,284.8292521911621,36.10352980957009
ASHOKLEY,SELL,2025-08-25 00:00:00+05:30,9,130.83968151397704,-9.82440887145998
APOLLOTYRE,SELL,2025-08-25 00:00:00+05:30,1,465.1944478088379,0.1406505859374647
ABFRL,SELL,2025-08-25 00:00:00+05:30,20,81.87342935256957,10.356087051391398
