symbol,side,date,qty,px,pnl
AMBUJACEM,BUY,2025-04-09 00:00:00+05:30,1,548.5121277770996,0.0
NYKAA,BUY,2025-04-15 00:00:00+05:30,1,186.10161861114503,0.0
RAINBOW,SELL,2025-04-24 00:00:00+05:30,1,1433.63385,-47.93971944580085
TATACONSUM,BUY,2025-04-24 00:00:00+05:30,1,1162.8097388916015,0.0
AMBUJACEM,SELL,2025-04-28 00:00:00+05:30,1,544.2415771911622,-4.270550585937485
RBLBANK,BUY,2025-04-28 00:00:00+05:30,4,207.3692361114502,0.0
TATACONSUM,SELL,2025-05-08 00:00:00+05:30,1,1114.5492,-48.26053889160153
ELECON,BUY,2025-05-08 00:00:00+05:30,2,618.6031277770996,0.0
HINDPETRO,SELL,2025-05-09 00:00:00+05:30,1,385.747875,5.9547972229004245
RBLBANK,SELL,2025-05-26 00:00:00+05:30,4,204.35398912353514,-12.060987951660195
CCL,BUY,2025-05-27 00:00:00+05:30,1,842.844275,0.0
COROMANDEL,SELL,2025-05-29 00:00:00+05:30,1,2305.8983324707033,239.76589636230483
GVT&D,BUY,2025-05-29 00:00:00+05:30,1,2291.575277783203,0.0
NYKAA,SELL,2025-06-02 00:00:00+05:30,1,194.29708804779054,8.19546943664551
YESBANK,BUY,2025-06-02 00:00:00+05:30,9,23.310264687538147,0.0
IDBI,BUY,2025-06-02 00:00:00+05:30,1,101.40164763870239,0.0
YESBANK,SELL,2025-06-03 00:00:00+05:30,9,20.832882609558105,-22.29643870182038
JMFINANCIL,BUY,2025-06-05 00:00:00+05:30,1,141.80410111083984,0.0
ELECON,SELL,2025-06-12 00:00:00+05:30,2,668.62965,100.05304444580065
CCL,SELL,2025-06-12 00:00:00+05:30,1,829.5201956176758,-13.324079382324271
TANLA,BUY,2025-06-12 00:00:00+05:30,1,680.0829722229004,0.0
NAVA,BUY,2025-06-12 00:00:00+05:30,1,560.978325,0.0
IDBI,SELL,2025-06-13 00:00:00+05:30,1,94.69673369522094,-6.7049139434814435
