date,symbol,side,price,qty,reason
2019-12-10,JBCHEPHARM.NS,BUY,211.18,1,ADX=23.0
2019-12-11,GESHIP.NS,SELL,295.6,1883,RULE
2019-12-11,GUJGASLTD.NS,SELL,217.63,245,STOP
2019-12-11,KOTAKBANK.NS,BUY,1686.55,330,ADX=23.1
2019-12-12,CRISIL.NS,BUY,1703.1,31,ADX=54.2
2019-12-12,MANAPPURAM.NS,BUY,173.2,3,ADX=16.7
2020-01-06,ADANIENT.NS,SELL,199.55,1,RULE
2020-01-06,IEX.NS,BUY,56.05,9734,ADX=34.5
2020-01-06,KOTAKBANK.NS,SELL,1652.55,330,RULE
2020-01-06,SUZLON.NS,BUY,2.94,6,ADX=33.9
2020-01-08,IEX.NS,SELL,52.97,9734,STOP
2020-01-08,NAVINFLUOR.NS,BUY,1089.95,473,ADX=43.1
2020-01-09,SAIL.NS,BUY,48.55,1,ADX=32.9
2020-01-09,SUZLON.NS,SELL,2.78,6,STOP
2020-01-14,COROMANDEL.NS,BUY,558.0,873,ADX=55.0
2020-01-14,NAVINFLUOR.NS,SELL,1030.0,473,STOP
2020-01-20,ALOKINDS.NS,SELL,2.7,2,RULE
2020-01-20,SJVN.NS,BUY,27.05,2,ADX=59.3
2020-01-22,GUJGASLTD.NS,BUY,280.7,7,ADX=52.8
2020-01-22,ICICIBANK.NS,SELL,522.85,4,RULE
2020-01-23,LAURUSLABS.NS,BUY,82.98,2,ADX=44.9
2020-01-23,SJVN.NS,SELL,25.56,2,STOP
2020-01-28,CRISIL.NS,SELL,1758.3,31,RULE
2020-01-28,SRF.NS,BUY,752.97,72,ADX=58.8
2020-02-03,IRCTC.NS,BUY,250.17,1,ADX=48.6
2020-02-03,SAIL.NS,SELL,45.88,1,STOP
2020-02-04,MANAPPURAM.NS,SELL,172.7,3,RULE
2020-02-04,WESTLIFE.NS,BUY,480.35,1,ADX=46.2
2020-02-05,POLYMED.NS,BUY,321.25,1,ADX=45.6
2020-02-05,WESTLIFE.NS,SELL,453.93,1,STOP
2020-02-06,IGL.NS,BUY,261.15,2,ADX=54.4
2020-02-06,POLYMED.NS,SELL,303.58,1,STOP
2020-02-12,JPPOWER.NS,SELL,1.8,4,RULE
2020-02-13,GRAVITA.NS,BUY,66.05,1,ADX=42.9
2020-02-14,IGL.NS,SELL,246.79,2,STOP
2020-02-14,IRCON.NS,BUY,55.33,9,ADX=34.3
2020-02-18,IRCON.NS,SELL,52.29,9,STOP
2020-02-18,KIRLOSBROS.NS,BUY,173.5,2,ADX=27.2
2020-02-19,ALOKINDS.NS,BUY,16.85,16,ADX=42.9
2020-02-19,LAURUSLABS.NS,SELL,78.42,2,STOP
2020-02-24,ALOKINDS.NS,SELL,15.92,16,STOP
2020-02-24,IEX.NS,BUY,64.52,4,ADX=36.1
2020-02-25,ADANIGREEN.NS,SELL,180.55,1,RULE
2020-02-25,DEEPAKNTR.NS,BUY,506.35,1,ADX=39.1
2020-02-25,GRAVITA.NS,SELL,62.42,1,STOP
2020-02-25,KIRLOSBROS.NS,SELL,163.96,2,STOP
2020-02-27,BDL.NS,BUY,156.4,3,ADX=15.6
2020-02-27,DEEPAKNTR.NS,SELL,478.5,1,STOP
2020-02-28,APLAPOLLO.NS,SELL,194.35,2,RULE
2020-02-28,BDL.NS,SELL,147.8,3,STOP
2020-02-28,GUJGASLTD.NS,SELL,276.1,7,RULE
2020-02-28,IEX.NS,SELL,60.97,4,STOP
2020-02-28,SRF.NS,SELL,778.76,72,RULE
2020-03-03,ATUL.NS,BUY,5358.75,11,ADX=58.6
2020-03-04,ATUL.NS,SELL,5064.02,11,STOP
2020-03-04,BASF.NS,BUY,1146.3,48,ADX=34.2
2020-03-04,POWERGRID.NS,BUY,110.84,8,ADX=17.2
2020-03-05,IRCTC.NS,SELL,286.17,1,RULE
2020-03-09,BASF.NS,SELL,1083.25,48,STOP
2020-03-09,COROMANDEL.NS,SELL,602.75,873,RULE
2020-03-09,POWERGRID.NS,SELL,104.74,8,STOP
2020-03-11,PATANJALI.NS,BUY,87.15,6046,ADX=40.9
2020-03-11,PIDILITIND.NS,BUY,1699.75,30,ADX=32.9
2020-03-12,JBCHEPHARM.NS,SELL,254.48,1,RULE
2020-03-12,PIDILITIND.NS,SELL,1606.26,30,STOP
2020-03-13,IDEA.NS,BUY,5.6,8906,ADX=26.3
2020-03-16,IDEA.NS,SELL,5.29,8906,STOP
2020-03-17,YESBANK.NS,BUY,58.65,803,ADX=29.2
2020-03-18,YESBANK.NS,SELL,55.42,803,STOP
